fid,adm3,adm3_code,adm2,adm2_code,adm1,adm1_code,pop,hh,area,health,schools,prov_elec,prov_poverty
"255",Mocimboa Da Praia,MZ011003,Mocimboa Da Praia,MZ0110,Cabo Delgado,MZ01,"84419","16884","1668","3","1","15","54"
"256",Mocuba,MZ111401,Mocuba,MZ1114,Zambezia,MZ11,"238535","47707","3650","12","5","13","53"
"257",Mocubela,MZ111502,Mocubela,MZ1115,Zambezia,MZ11,"51314","10263","3413","5","0","13","53"
"258",Mocumbi,MZ030502,Inharrime,MZ0305,Inhambane,MZ03,"33144","6629","1637","3","0","20","36"
"259",Molumbo,MZ111601,Molumbo,MZ1116,Zambezia,MZ11,"107766","21553","4320","3","0","13","53"
"260",Moma,MZ071402,Moma,MZ0714,Nampula,MZ07,"224824","44965","2510","11","0","23","45"
"261",Monapo,MZ071502,Monapo,MZ0715,Nampula,MZ07,"178366","35673","1233","4","0","23","45"
"262",Mongue,MZ111303,Milange,MZ1113,Zambezia,MZ11,"176635","35327","1418","1","5","13","53"
"263",Montepuez,MZ011103,Montepuez,MZ0111,Cabo Delgado,MZ01,"143899","28780","1211","5","1","15","54"
"264",Mopeia,MZ111702,Mopeia,MZ1117,Zambezia,MZ11,"147869","29574","3988","9","1","13","53"
"265",Morrumbala,MZ111803,Morrumbala,MZ1118,Zambezia,MZ11,"315186","63037","3117","13","3","13","53"
"266",Morrumbene,MZ031101,Morrumbene,MZ0311,Inhambane,MZ03,"74380","14876","555","5","1","20","36"
"267",Mossuril,MZ071603,Mossuril,MZ0716,Nampula,MZ07,"44075","8815","848","6","1","23","45"
"268",Motaze,MZ050304,Magude,MZ0503,Maputo,MZ05,"15697","3139","965","2","0","96","14"
"269",Mphende,MZ100902,Magoe,MZ1009,Tete,MZ10,"21856","4371","1926","3","0","15","48"
"270",Muabanama,MZ111002,Lugela,MZ1110,Zambezia,MZ11,"80926","16185","2209","1","0","13","53"
"271",Muaguide,MZ010802,Meluco,MZ0108,Cabo Delgado,MZ01,"10553","2111","1204","2","0","15","54"
"272",Mualadze,MZ100402,Chifunde,MZ1004,Tete,MZ10,"186931","37386","3500","2","0","15","48"
"273",Mualama,MZ112301,Pebane,MZ1123,Zambezia,MZ11,"98431","19686","5123","5","1","13","53"
"274",Muanza,MZ091202,Muanza,MZ0912,Sofala,MZ09,"16365","3273","1602","21","0","38","40"
"275",Muaquia,MZ080802,Majune,MZ0808,Niassa,MZ08,"2117","423","2967","1","0","16","47"
"276",Muatua,MZ071303,Mogovolas,MZ0713,Nampula,MZ07,"48147","9629","605","1","0","23","45"
